Title,ID,title,overview,release_date,runtime,budget,revenue,genres,production_companies,production_countries,spoken_languages,tagline,rating,votes
How to Train Your Dragon,10191,How to Train Your Dragon,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",2010-03-18,98,165000000,494879471,"['Fantasy', 'Adventure', 'Animation', 'Family']","['DreamWorks Animation', 'Paramount']",['United States of America'],['English'],One adventure will change two worlds,7.806,11753
Rush,96721,Rush,A biographical drama centered on the rivalry between Formula 1 drivers James Hunt and Niki Lauda during the 1976 Formula One motor-racing season.,2013-09-02,123,38000000,90247624,"['Drama', 'Action']","['Double Negative', 'Exclusive Media', 'Cross Creek Pictures', 'Revolution Films', 'Working Title Films', 'Imagine Entertainment', 'Universal Pictures']","['Germany', 'United Kingdom', 'United States of America']","['English', 'Deutsch', 'Italiano', 'Français']",Everyone's driven by something.,7.709,6394
The Iron Giant,10386,The Iron Giant,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.",1999-08-06,86,70000000,23159305,"['Family', 'Animation', 'Science Fiction', 'Drama']","['Warner Bros. Pictures', 'Warner Bros. Animation']",['United States of America'],['English'],It came from outer space!,7.922,4919
Bajrangi Bhaijaan,348892,Bajrangi Bhaijaan,A young mute girl from Pakistan loses herself in India with no way to head back. A devoted man with a magnanimous spirit undertakes the task to get her back to her motherland and unite her with her family.,2015-07-17,159,13000000,150000000,"['Action', 'Comedy', 'Drama']","['Rockline Entertainments', 'Kabir Khan Films', 'Salman Khan Films']",['India'],"['हिन्दी', 'اردو']",,7.829,403
A Wednesday,19703,A Wednesday!,"A retired police commissioner recounts the most memorable case of his career, wherein he was informed about a bomb scare in Mumbai.",2008-09-05,103,1400000,3500000,"['Drama', 'Thriller']",['UTV Motion Pictures'],['India'],['हिन्दी'],,6.987,264
Sholay,12259,Sholay,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",1975-08-15,204,408000,4800000,['Action'],"['Sippy Films', 'NH Studioz']",['India'],['हिन्दी'],The greatest cast ever assembled! The greatest story ever told!,7.0,224
The General,961,The General,"During America’s Civil War, Union spies steal engineer Johnnie Gray's beloved locomotive, 'The General'—with Johnnie's lady love aboard an attached boxcar—and he single-handedly must do all in his power to both get The General back and to rescue Annabelle.",1926-12-25,79,750000,1000000,"['Action', 'Adventure', 'Comedy', 'Drama', 'War']","['Joseph M. Schenck Productions', 'Buster Keaton Productions']",['United States of America'],['No Language'],"Buster drives ""The General"" to trainload of laughter.",8.007,1029
Major,411404,MAJOR!,"MAJOR! follows the life and campaigns of Miss Major Griffin-Gracy, a 73-year-old Black transgender woman who has been fighting for the rights of trans women of color for over 40 years.",2015-11-15,91,0,0,['Documentary'],['Floating Ophelia Productions'],['United States of America'],['English'],,7.7,3
Kakushi-toride no san-akunin,1059,The Hidden Fortress,"Japanese peasants Matashichi and Tahei try and fail to make a profit from a tribal war. They find a man and woman whom they believe are simple tribe members hiding in a fortress. Although the peasants don't know that Rokurota is a general and Yuki is a princess, the peasants agree to accompany the pair to safety in return for gold. Along the way, the general must prove his expertise in battle while also hiding his identity.",1958-12-28,139,0,0,"['Adventure', 'Drama', 'Action', 'Comedy']",['TOHO'],['Japan'],['日本語'],,7.981,508
White Heat,15794,White Heat,"A psychopathic criminal with a mother complex makes a daring break from prison and then leads his old gang in a chemical plant payroll heist. After the heist, events take a crazy turn.",1949-09-02,114,1300000,3483000,"['Crime', 'Drama', 'Thriller']",['Warner Bros. Pictures'],['United States of America'],['English'],"Pick up the pieces folks, Jimmy's in action again!",7.7,393
Hera Pheri,21614,Hera Pheri,"Three unemployed men find the answer to all their money problems when they receive a call from a kidnapper. However, things do not go as planned.",2000-03-31,156,0,0,"['Comedy', 'Crime']",['A.G. Films'],['India'],['हिन्दी'],,7.0,201
Thuppakki,143010,Thuppakki,An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.,2012-11-13,165,11000000,28000000,"['Action', 'Thriller']",['V Creations'],['India'],"['English', 'हिन्दी', 'தமிழ்']",,7.112,76
Kaththi,263475,Kaththi,"Kathiresan aka Kaththi, a criminal, escapes from the Kolkata prison and comes to Chennai, where he comes across his doppelganger Jeevanandham, fighting for his life after being shot at by unknown men. Kathir decides to pass off as Jeeva and make away with a lump sum amount but once he realizes who Jeeva really is, Kathir turns a crusader.",2014-10-22,167,1600000,0,"['Action', 'Drama']","['Lyca Productions', 'Ayngaran International']",['India'],['தமிழ்'],,6.9,74
Sarfarosh,989407,Sarfarosh,A Bollywood film.,1964-01-01,0,0,0,['History'],[],[],['हिन्दी'],,0.0,0
Everything Everywhere All at Once,545611,Everything Everywhere All at Once,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",2022-03-24,140,25000000,139200000,"['Action', 'Adventure', 'Science Fiction']","['AGBO', 'Ley Line Entertainment', 'Year of the Rat Productions', 'Hotdog Hands LLC', 'A24', 'IAC Films']",['United States of America'],"['广州话 / 廣州話', '普通话', 'English']",The universe is so much bigger than you realize.,7.849,4565
Dune: Part One,438631,Dune,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",2021-09-15,155,165000000,402027830,"['Science Fiction', 'Adventure']",['Legendary Pictures'],['United States of America'],"['普通话', 'English']",It begins.,7.801,8784
Blade Runner 2049,335984,Blade Runner 2049,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",2017-10-04,164,150000000,259239658,"['Science Fiction', 'Drama']","['Torridon Films', '16:14 Entertainment', 'Scott Free Productions', 'Columbia Pictures', 'Alcon Entertainment', 'Thunderbird Entertainment', 'Warner Bros. Pictures']","['Canada', 'Hungary', 'Mexico', 'Spain', 'United Kingdom', 'United States of America']","['English', 'suomi', 'Magyar', '日本語', 'Pусский', 'Somali', 'Español']",The key to the future is finally unearthed.,7.5,11799
Guardians of the Galaxy,447365,Guardians of the Galaxy Volume 3,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",2023-05-03,150,250000000,35000000,"['Science Fiction', 'Adventure', 'Action']","['Marvel Studios', 'Kevin Feige Productions']",['United States of America'],['English'],Once more with feeling.,8.461,331
Zack Snyder's Justice League,791373,Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",2021-03-18,242,70000000,0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Warner Bros. Pictures', 'The Stone Quarry', 'Atlas Entertainment', 'Access Entertainment', 'Dune Entertainment', 'DC Films']",['United States of America'],['English'],,8.212,8811
Deadpool,293660,Deadpool,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",2016-02-09,108,58000000,783100000,"['Action', 'Adventure', 'Comedy']","['20th Century Fox', ""The Donners' Company"", 'Genre Films']",['United States of America'],['English'],Witness the beginning of a happy ending.,7.603,28304
Casino Royale,36557,Casino Royale,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",2006-11-14,144,150000000,599045960,"['Adventure', 'Action', 'Thriller']","['Eon Productions', 'Stillking Films', 'Columbia Pictures', 'Studio Babelsberg', 'Danjaq', 'Casino Royale Productions', 'Government of the Commonwealth of the Bahamas', 'Metro-Goldwyn-Mayer']","['Bahamas', 'Czech Republic', 'Germany', 'United Kingdom']","['English', 'Français']",Everyone has a past. Every legend has a beginning.,7.533,9692
The Avengers,24428,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",2012-04-25,143,220000000,1518815515,"['Science Fiction', 'Action', 'Adventure']",['Marvel Studios'],['United States of America'],"['English', 'हिन्दी', 'Pусский']",Some assembly required.,7.7,28537
The Revenant,281957,The Revenant,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",2015-12-25,157,135000000,532950503,"['Western', 'Drama', 'Adventure']","['Monarchy Enterprises S.a.r.l.', 'Regency Enterprises', 'Appian Way', 'CatchPlay', 'Anonymous Content', 'New Regency Pictures', 'Hong Kong Alpha Motion Pictures Co.', 'M Productions', 'RatPac Entertainment']","['Canada', 'Hong Kong', 'Taiwan', 'United States of America']","['English', 'Français']","(n. One who has returned, as if from the dead.)",7.521,16743
The Incredibles,9806,The Incredibles,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.",2004-10-27,115,92000000,631442092,"['Action', 'Adventure', 'Animation', 'Family']","['Pixar', 'Walt Disney Pictures']",['United States of America'],"['Français', 'English']","No gut, no glory",7.702,16177
